Date,Equity,Holding
2013-10-21,17827.764968285286,QLD
2013-10-22,17858.473261398995,QLD
2013-10-23,17672.165992975006,QLD
2013-10-24,17819.573119754383,QLD
2013-10-25,18067.29697440579,QLD
2013-10-28,18085.71908599131,QLD
2013-10-29,18136.910182968615,QLD
2013-10-30,18106.192342245893,QLD
2013-10-31,18024.297725959386,QLD
2013-11-01,18030.44956869841,QLD
2013-11-04,18073.434495731293,QLD
2013-11-05,18124.61922763592,QLD
2013-11-06,18114.38259950863,QLD
2013-11-07,17436.728319851787,QLD
2013-11-08,17907.613213707235,QLD
2013-11-11,17852.32778373265,QLD
2013-11-12,17899.416591371828,QLD
2013-11-13,18337.542047444505,QLD
2013-11-14,18437.85081897569,QLD
2013-11-15,18509.513580939412,QLD
2013-11-18,18169.66166441054,QLD
2013-11-19,18044.77416475031,QLD
2013-11-20,17975.162547455653,QLD
2013-11-21,18315.01446398452,QLD
2013-11-22,18523.84135952765,QLD
2013-11-25,18605.73120200965,QLD
2013-11-26,18800.22395389187,QLD
2013-11-27,19058.186027938737,QLD
2013-11-29,19269.05452054192,QLD
2013-12-02,19170.78098099811,QLD
2013-12-03,19140.07427915257,QLD
2013-12-04,19176.92327612812,QLD
2013-12-05,19142.12065001713,QLD
2013-12-06,19410.31616965495,QLD
2013-12-09,19561.812855627104,QLD
2013-12-10,19539.288454703455,QLD
2013-12-11,19039.752777476035,QLD
2013-12-12,18947.62789813491,QLD
2013-12-13,18886.209720639323,QLD
2013-12-16,19092.98388024522,QLD
2013-12-17,19025.42340761963,QLD
2013-12-18,19467.64001415325,QLD
2013-12-19,19340.70455236029,QLD
2013-12-20,19729.688464856557,QLD
2013-12-23,20147.335890870145,QLD
2013-12-24,20173.94985098657,QLD
2013-12-26,20298.83416811047,QLD
2013-12-27,20194.424698509323,QLD
2013-12-30,20133.003338477403,QLD
2013-12-31,20390.96222998793,QLD
2014-01-02,20077.73063864816,QLD
2014-01-03,19793.15460448487,QLD
2014-01-06,19631.421290385424,QLD
2014-01-07,19989.692135963476,QLD
2014-01-08,20092.056825968233,QLD
2014-01-09,19948.748805990646,QLD
2014-01-10,20077.73063864816,QLD
2014-01-13,19469.684793749642,QLD
2014-01-14,20229.230507156655,QLD
2014-01-15,20550.65076449099,QLD
2014-01-16,20573.17357414647,QLD
2014-01-17,20331.59519716141,QLD
2014-01-21,20638.68449337117,QLD
2014-01-22,20759.474477497784,QLD
2014-01-23,20610.027344926522,QLD
2014-01-24,19770.639751170234,QLD
2014-01-27,19416.450508444115,QLD
2014-01-28,19387.790177463132,QLD
2014-01-29,18976.294594188566,QLD
2014-01-30,19643.709063181777,QLD
2014-01-31,19559.766484762546,QLD
2014-02-03,18681.481931897983,QLD
2014-02-04,18933.293754473998,QLD
2014-02-05,18835.02658000286,QLD
2014-02-06,19297.710077718395,QLD
2014-02-07,19987.64576509892,QLD
2014-02-10,20223.085029490307,QLD
2014-02-11,20681.678968013064,QLD
2014-02-12,20763.56562795873,QLD
2014-02-13,21066.56536497571,QLD
2014-02-14,21160.7413889859,QLD
2014-02-18,21367.520322396304,QLD
2014-02-19,21076.80676690751,QLD
2014-02-20,21248.778300402417,QLD
2014-02-21,21189.40331123505,QLD
2014-02-24,21443.26627848013,QLD
2014-02-25,21377.752176719092,QLD
2014-02-26,21342.95750694894,QLD
2014-02-27,21625.477622638664,QLD
2014-02-28,21566.10581600764,QLD
2014-03-03,21250.824671266975,QLD
2014-03-04,21793.358005672628,QLD
2014-03-05,21914.143215994736,QLD
2014-03-06,21862.96166662644,QLD
2014-03-07,21650.045211890534,QLD
2014-03-10,21682.804649673304,QLD
2014-03-11,21506.737191912947,QLD
2014-03-12,21656.189098288713,QLD
2014-03-13,21056.333510652923,QLD
2014-03-14,20753.33695617228,QLD
2014-03-17,21132.084240541255,QLD
2014-03-18,21637.76380416685,QLD
2014-03-19,21412.562759170927,QLD
2014-03-20,21516.969046235732,QLD
2014-03-21,20992.862597220108,QLD
2014-03-24,20640.734046772064,QLD
2014-03-25,20761.528804703183,QLD
2014-03-26,20227.176179951253,QLD
2014-03-27,20001.97354368716,QLD
2014-03-28,20085.9208959109,QLD
2014-03-31,20360.253936874222,QLD
2014-04-01,21070.66128924116,QLD
2014-04-02,21183.270563714053,QLD
2014-04-03,20851.602539375246,QLD
2014-04-04,19725.602088200118,QLD
2014-04-07,19373.463990143064,QLD
2014-04-08,19673.90422391283,TLT
2014-04-09,19576.777801144395,TLT
2014-04-10,19718.968871690726,QLD
2014-04-11,19222.666442806974,TLT
2014-04-14,19172.330605031042,TLT
2014-04-15,19292.101017123055,TLT
2014-04-16,19316.41230284176,TLT
2014-04-17,19104.622028332007,TLT
2014-04-21,19088.988018304477,TLT
2014-04-22,19114.93729751224,QLD
2014-04-23,18770.52605874567,QLD
2014-04-24,19097.964467647267,TLT
2014-04-25,19087.22288926039,QLD
2014-04-28,19186.399608052907,TLT
2014-04-29,19160.423706023652,TLT
2014-04-30,19201.626799857957,QLD
2014-05-01,19324.601217648462,QLD
2014-05-02,19250.428772896295,QLD
2014-05-05,19445.629079093505,QLD
2014-05-06,18938.10888985725,QLD
2014-05-07,18785.3179055082,TLT
2014-05-08,18704.86691399058,TLT
2014-05-09,18644.536115138962,TLT
2014-05-12,18569.10028221465,TLT
2014-05-13,18692.566235360104,QLD
2014-05-14,18496.808104444197,QLD
2014-05-15,18217.147007129595,QLD
2014-05-16,18415.180647871985,TLT
2014-05-19,18242.39426637127,QLD
2014-05-20,18106.124391327303,QLD
2014-05-21,18447.70786488193,QLD
2014-05-22,18598.51831504122,QLD
2014-05-23,18878.331177196356,QLD
2014-05-27,19354.374015179383,QLD
2014-05-28,19225.374427693077,QLD
2014-05-29,19467.032402718192,QLD
2014-05-30,19479.75399368933,QLD
2014-06-02,19430.689438458507,QLD
2014-06-03,19421.611464794823,QLD
2014-06-04,19552.430036425314,QLD
2014-06-05,19888.569267840314,QLD
2014-06-06,20113.87192037023,QLD
2014-06-09,20082.9859085431,QLD
2014-06-10,20144.76358121644,QLD
2014-06-11,20133.86379889903,QLD
2014-06-12,19790.45427992637,QLD
2014-06-13,19897.65712728739,QLD
