ticker,name,market
001380.KS,001380,KOSPI
000910.KS,000910,KOSPI
092440.KS,092440,KOSPI
000725.KS,000725,KOSPI
002630.KS,002630,KOSPI
003010.KS,003010,KOSPI
133820.KS,133820,KOSPI
378850.KS,378850,KOSPI
004060.KS,004060,KOSPI
003925.KS,003925,KOSPI
001210.KS,001210,KOSPI
047400.KS,047400,KOSPI
357250.KS,357250,KOSPI
004910.KS,004910,KOSPI
100220.KS,100220,KOSPI
155660.KS,155660,KOSPI
011300.KS,011300,KOSPI
000950.KS,000950,KOSPI
017180.KS,017180,KOSPI
017040.KS,017040,KOSPI
004450.KS,004450,KOSPI
005305.KS,005305,KOSPI
001620.KS,001620,KOSPI
308170.KS,308170,KOSPI
004920.KS,004920,KOSPI
014990.KS,014990,KOSPI
002140.KS,002140,KOSPI
072130.KS,072130,KOSPI
058730.KS,058730,KOSPI
075180.KS,075180,KOSPI
023960.KS,023960,KOSPI
025560.KS,025560,KOSPI
041650.KS,041650,KOSPI
28513K.KS,28513K,KOSPI
123700.KS,123700,KOSPI
021050.KS,021050,KOSPI
001550.KS,001550,KOSPI
004770.KS,004770,KOSPI
011230.KS,011230,KOSPI
009190.KS,009190,KOSPI
000890.KS,000890,KOSPI
004410.KS,004410,KOSPI
071950.KS,071950,KOSPI
010770.KS,010770,KOSPI
007815.KS,007815,KOSPI
481850.KS,481850,KOSPI
011420.KS,011420,KOSPI
025530.KS,025530,KOSPI
009835.KS,009835,KOSPI
003080.KS,003080,KOSPI
069730.KS,069730,KOSPI
002920.KS,002920,KOSPI
006370.KS,006370,KOSPI
007610.KS,007610,KOSPI
090080.KS,090080,KOSPI
009320.KS,009320,KOSPI
002410.KS,002410,KOSPI
003475.KS,003475,KOSPI
093240.KS,093240,KOSPI
004870.KS,004870,KOSPI
051630.KS,051630,KOSPI
006980.KS,006980,KOSPI
023350.KS,023350,KOSPI
001465.KS,001465,KOSPI
118000.KS,118000,KOSPI
006125.KS,006125,KOSPI
002880.KS,002880,KOSPI
008870.KS,008870,KOSPI
025750.KS,025750,KOSPI
012160.KS,012160,KOSPI
027740.KS,027740,KOSPI
37550K.KS,37550K,KOSPI
012280.KS,012280,KOSPI
357430.KS,357430,KOSPI
006740.KS,006740,KOSPI
