Date,PV_KRW,Signal,QuantScore,Emergency
2024-08-20,174796296.03865352,NORMAL,64.76678114862261,False
2024-08-21,174503324.4911501,NORMAL,62.79909157216577,False
2024-08-22,174025914.69514683,NORMAL,89.54624442862428,False
2024-08-23,176635981.16598016,NORMAL,52.996302237501546,False
2024-08-26,173977462.1506493,NORMAL,87.26849869692577,False
2024-08-27,174525260.1241388,NORMAL,77.69898367283028,False
2024-08-28,173745417.53133732,NORMAL,91.27216136374837,False
2024-08-29,175184456.68751225,NORMAL,30.516207231053492,True
2024-08-30,174924561.8713602,NORMAL,51.34931218777636,False
2024-09-02,175597655.47059223,NORMAL,92.26404461477699,False
2024-09-03,168806999.3784679,NORMAL,92.20466241878664,False
2024-09-04,168728571.26099858,NORMAL,49.87692466148963,False
2024-09-05,167601647.91022316,NORMAL,48.492308396559494,False
2024-09-06,161814470.2394488,NORMAL,49.76948980239068,False
2024-09-09,164575588.05670175,DANGER,16.046155782846306,True
2024-09-10,165085250.3460419,DANGER,30.03098508382324,True
2024-09-11,165845573.95860356,DANGER,23.66153863760141,True
2024-09-12,166258630.2812969,NORMAL,38.962982862421356,True
2024-09-13,166708503.12742344,NORMAL,56.79292889014812,False
2024-09-16,166117005.74341434,NORMAL,60.53527814663777,False
2024-09-17,164543689.168972,NORMAL,56.63335900681953,False
2024-09-18,164767583.94358465,NORMAL,55.60972682231231,False
2024-09-19,165989760.38006493,NORMAL,53.75683276220569,False
2024-09-20,166641976.59000516,NORMAL,76.86915906812676,False
2024-09-23,167468718.2593693,NORMAL,66.39593906757159,False
2024-09-24,168915774.672759,NORMAL,78.02424283402377,False
2024-09-25,166828482.79836068,NORMAL,80.77456744247206,False
2024-09-26,170354689.26005313,NORMAL,92.13076958289514,False
2024-09-27,166963646.45755213,NORMAL,92.22307718717136,False
2024-09-30,165151803.16620234,NORMAL,81.13021032804454,False
2024-10-01,163396060.8324284,NORMAL,84.12680824803441,False
2024-10-02,164802341.61670598,NORMAL,83.246153317965,False
