Date,Wealth,Invested
2021-11-23,173043.21976058482,70975.70511030438
2021-11-24,173033.20082567376,70999.72074839429
2021-11-26,169732.86703773186,71023.73638648422
2021-11-29,171483.48999120973,71047.75202457415
2021-11-30,168430.21511250307,71071.76766266406
2021-12-01,167792.04263657576,71095.78330075397
2021-12-02,169648.38885924275,71119.79893884389
2021-12-03,168562.9806483408,71143.81457693382
2021-12-06,169881.1833529669,71167.83021502373
2021-12-07,173135.7992860218,71191.84585311366
2021-12-08,173384.59156358324,71215.86149120357
2021-12-09,172220.43345931056,71239.87712929348
2021-12-10,173665.57568005045,71263.89276738341
2021-12-13,172256.3329454169,71287.90840547332
2021-12-14,171261.92605239112,71311.92404356325
2021-12-15,173973.87294356324,71335.93968165317
2021-12-16,172582.54016838304,71359.95531974308
2021-12-17,171408.64493656272,71383.970957833
2021-12-20,169797.67530622994,71407.98659592292
2021-12-21,172188.0388830579,71432.00223401285
2021-12-22,173678.90986590495,71456.01787210276
2021-12-23,174789.3353873796,71480.03351019268
2021-12-27,176974.5681773585,71504.04914828259
2021-12-28,176851.75719722468,71528.06478637252
2021-12-29,176754.11889066463,71552.08042446245
2021-12-30,176284.56865457355,71576.09606255236
2021-12-31,175918.6482231241,71600.11170064227
2022-01-03,177103.25206315803,71624.12733873219
2022-01-04,177017.0966062023,71648.14297682211
2022-01-05,173833.39135232847,71672.15861491204
2022-01-06,173726.36264924626,71696.17425300195
2022-01-07,173266.2944754336,71720.18989109187
2022-01-10,173161.83693124657,71744.20552918178
2022-01-11,174697.430546037,71768.22116727171
2022-01-12,175269.91446685046,71792.23680536164
2022-01-13,173119.64792786524,71816.25244345155
2022-01-14,173228.77080960874,71840.26808154146
2022-01-18,170145.39523751775,71864.28371963138
2022-01-19,169116.38875089714,71888.2993577213
2022-01-20,168220.86041678322,71912.31499581122
2022-01-21,167047.7712112237,71936.33063390115
2022-01-24,167123.26373950968,71960.34627199106
2022-01-25,166715.45486335605,71984.36191008097
2022-01-26,166020.39397681248,72008.37754817089
2022-01-27,165075.99124705643,72032.39318626082
2022-01-28,166382.83337730123,72056.40882435074
2022-01-31,166913.68061353947,72080.42446244066
2022-02-01,167827.6341917197,72104.44010053057
2022-02-02,168421.80307931316,72128.45573862048
2022-02-03,167815.98760308846,72152.47137671041
2022-02-04,167771.47804194095,72176.48701480034
2022-02-07,167809.01197796632,72200.50265289025
2022-02-08,168429.2501428036,72224.51829098017
2022-02-09,169028.65909979196,72248.53392907008
2022-02-10,167966.84040016946,72272.54956716001
2022-02-11,167422.26252003884,72296.56520524994
2022-02-14,166618.63717487364,72320.58084333985
2022-02-15,167146.61907188,72344.59648142976
2022-02-16,167632.2114752659,72368.61211951968
2022-02-17,167027.54539908312,72392.6277576096
2022-02-18,167043.76037559417,72416.64339569953
2022-02-22,166174.33164379458,72440.65903378944
