Date,PV_KRW,Signal
2013-09-02,134432026.97697067,NORMAL
2013-09-03,134171226.82310042,NORMAL
2013-09-04,136586707.87042373,NORMAL
2013-09-05,135551090.34135616,NORMAL
2013-09-06,136908236.33687645,NORMAL
2013-09-09,138323987.30326563,NORMAL
2013-09-10,138252211.39316386,NORMAL
2013-09-11,138167457.03097737,NORMAL
2013-09-12,137096674.60633075,NORMAL
2013-09-13,136945465.82550657,NORMAL
2013-09-16,136588534.6275654,NORMAL
2013-09-17,137493700.88113496,NORMAL
2013-09-18,141382307.2541374,NORMAL
2013-09-19,141375563.7910043,NORMAL
2013-09-20,138214472.09019884,NORMAL
2013-09-23,138193980.524313,NORMAL
2013-09-24,137950574.31622815,NORMAL
2013-09-25,137419217.77574563,NORMAL
2013-09-26,138894499.24131104,NORMAL
2013-09-27,138559986.68509075,NORMAL
2013-09-30,137677327.39989063,NORMAL
2013-10-01,138883583.33381876,NORMAL
2013-10-02,139074786.02025113,NORMAL
2013-10-03,137427321.89757383,NORMAL
2013-10-04,138298399.2034037,NORMAL
2013-10-07,136855132.60572782,NORMAL
2013-10-08,134145331.16174445,NORMAL
2013-10-09,134255432.41489083,NORMAL
2013-10-10,137560291.33302197,NORMAL
2013-10-11,138159419.09701645,NORMAL
2013-10-14,139052944.59073204,NORMAL
2013-10-15,138683159.40414184,NORMAL
2013-10-16,139812891.5530917,NORMAL
2013-10-17,141949283.10556528,NORMAL
2013-10-18,143639156.62852955,NORMAL
2013-10-21,140908433.215917,NORMAL
2013-10-22,144573068.27652785,NORMAL
2013-10-23,142569090.74691245,NORMAL
2013-10-24,143491519.6364378,NORMAL
2013-10-25,145235374.09487998,NORMAL
2013-10-28,145419332.39353058,NORMAL
2013-10-29,145703916.06988046,NORMAL
2013-10-30,145501035.69402972,NORMAL
2013-10-31,143827409.72146133,NORMAL
2013-11-01,144299488.30837,NORMAL
2013-11-04,141595060.33837986,NORMAL
2013-11-05,144269862.33586165,NORMAL
2013-11-06,144516643.8851257,NORMAL
2013-11-07,140753956.38056162,NORMAL
2013-11-08,143013762.8320677,NORMAL
2013-11-11,140421704.89421114,NORMAL
2013-11-12,143688442.4801052,NORMAL
2013-11-13,145496591.90134352,NORMAL
2013-11-14,146071774.40791795,NORMAL
2013-11-15,146941334.89909676,NORMAL
2013-11-18,141009982.46260363,NORMAL
2013-11-19,143315266.98398936,NORMAL
2013-11-20,142154322.7477301,NORMAL
2013-11-21,143621546.3550249,NORMAL
2013-11-22,145299414.3067564,NORMAL
2013-11-25,145497087.53724274,NORMAL
2013-11-26,146135280.89767566,NORMAL
2013-11-27,147342421.3140022,NORMAL
2013-11-28,147411961.81707868,NORMAL
2013-11-29,148722376.24748197,NORMAL
2013-12-02,146930463.80608857,NORMAL
2013-12-03,146404612.41281822,NORMAL
2013-12-04,147039978.4347329,NORMAL
2013-12-05,146419329.4790207,NORMAL
2013-12-06,147763058.22357273,NORMAL
2013-12-09,148097219.91888925,NORMAL
2013-12-10,148044396.1878194,NORMAL
2013-12-11,145236621.3737265,NORMAL
2013-12-12,144176285.20065877,NORMAL
2013-12-13,144133968.21626273,NORMAL
2013-12-16,145777652.4680814,NORMAL
2013-12-17,144910782.9399992,NORMAL
2013-12-18,147008491.38987046,NORMAL
2013-12-19,145718797.04219475,NORMAL
2013-12-20,148470373.93072197,NORMAL
2013-12-23,151004510.21539304,NORMAL
2013-12-24,150711680.52070394,NORMAL
2013-12-25,150725904.5251155,NORMAL
2013-12-26,151392492.58771595,NORMAL
2013-12-27,151479296.26370487,NORMAL
2013-12-30,150410714.09634015,NORMAL
2013-12-31,151981486.54439038,NORMAL
2014-01-01,152053563.5051727,NORMAL
2014-01-02,149040655.42645505,NORMAL
2014-01-03,147986564.59626853,NORMAL
2014-01-06,147754224.60977402,NORMAL
2014-01-07,150759777.10570493,NORMAL
2014-01-08,151284940.84739348,NORMAL
2014-01-09,150245175.5794516,NORMAL
2014-01-10,150787450.06034398,NORMAL
2014-01-13,148190712.90979564,NORMAL
2014-01-14,150772983.0036553,NORMAL
2014-01-15,151890939.0433634,NORMAL
2014-01-16,152612531.95195934,NORMAL
2014-01-17,151626877.32764107,NORMAL
2014-01-20,148658271.92516053,NORMAL
2014-01-21,152578678.29194513,NORMAL
2014-01-22,153308449.94454682,NORMAL
2014-01-23,152674351.53050753,NORMAL
2014-01-24,149308570.59808892,NORMAL
2014-01-27,148726750.62977335,NORMAL
2014-01-28,149656923.01774,NORMAL
2014-01-29,147385314.2239532,NORMAL
2014-01-30,148574267.96960792,NORMAL
2014-01-31,149644915.54081452,NORMAL
2014-02-03,145547002.91968104,NORMAL
2014-02-04,147222535.99359533,NORMAL
2014-02-05,146875722.8033064,NORMAL
2014-02-06,148483715.2749954,NORMAL
2014-02-07,151685101.11712924,NORMAL
